Week,Open,Close
20151005,2,0
20151026,5,0
20151102,7,0
20151109,11,0
20151116,12,1
20151123,13,1
20151130,15,1
20151207,15,2
20151214,17,2
20151228,17,3
20160104,19,3
20160118,22,3
20160125,22,4
20160208,23,4
20160215,24,4
20160222,25,4
20160229,27,4
20160307,33,4
20160314,38,5
20160321,39,5
20160328,42,5
20160404,43,5
20160418,47,5
20160425,47,6
20160502,51,6
20160509,54,6
20160516,68,6
20160523,86,7
20160530,100,29
